State,Truck Stop Name,Highway Route,Exit,Address
CO,TRINIDAD FUEL STOP,I,Exit 11,"9960 SANTA FE TRAILTRINIDAD, CO 81082 719-846-7076 (TRAVEL CENTER) # Showers: 0# Fuel Lanes: 5# Truck Parking Spots: 13# Truck Service Bays: 0"
CO,LOVE'S TRAVEL STOP #660,I,Exit 49,"99800 I-25WALSENBURG, CO 81089 719-738-2141 (TRAVEL CENTER) Visit Business's Website # Showers: 6# Fuel Lanes: 6# Truck Parking Spots: 46# Truck Service Bays: 0"
CO,TRAVEL CENTERS OF AMERICA EXPRESS #649,I,Exit 52,"455 US 85WALSENBURG, CO 81089 719-738-5733 (TRAVEL CENTER) Visit Business's Website # Showers: 3# Fuel Lanes: 4# Truck Parking Spots: 35# Truck Service Bays: 0"
CO,CIRCLE K,I,Exit 74,"8950 S I-25COLORADO CITY, CO 81004 719-676-3367 (TRAVEL CENTER) # Showers: 0# Fuel Lanes: 3# Truck Parking Spots: 20# Truck Service Bays: 0"
CO,CIRCLE K,I,Exit 101,"601 W US 50PUEBLO, CO 81008 719-544-9749 (TRAVEL CENTER) # Showers: 0# Fuel Lanes: 3# Truck Parking Spots: 0# Truck Service Bays: 0"
CO,LOVE'S TRAVEL STOP #226,I,Exit 104,"6470 N ELIZABETH STPUEBLO, CO 81008 719-253-1338 (TRAVEL CENTER) Visit Business's Website # Showers: 5# Fuel Lanes: 6# Truck Parking Spots: 70# Truck Service Bays: 3"
CO,TOMAHAWK AUTO & TRUCK PLAZA,I,Exit 128,"1103 S SANTA FE AVEFOUNTAIN, CO 80817 719-382-5473 (TRAVEL CENTER) # Showers: 3# Fuel Lanes: 6# Truck Parking Spots: 85# Truck Service Bays: 2"
CO,FAST MARKET,I,Exit 158,"1310 W BAPTIST RDMONUMENT, CO 80921 719-481-3628 (TRAVEL CENTER) # Showers: 2# Fuel Lanes: 4# Truck Parking Spots: 40# Truck Service Bays: 0"
CO,PILOT TRAVEL CENTER #1110,I,Exit 158,"15455 TERRAZZO DRMONUMENT, CO 80132 719-487-7555 (TRAVEL CENTER) Visit Business's Website Unleaded: $2.849Diesel: $3.359Bulk DEF: $4.199 # Showers: 5# Fuel Lanes: 8# Truck Parking Spots: 69# Truck Service Bays: 0"
CO,PHILLIP 66 TRUCK STOP,I,Exit 161,"534 CO 105MONUMENT, CO 80132 719-488-2700 (TRAVEL CENTER) # Showers: 3# Fuel Lanes: 5# Truck Parking Spots: 20# Truck Service Bays: 0"
