State,Truck Stop Name,Highway Route,Exit,Address,Latitude,Longitude
AK,YOUNG'S CHEVRON SERVICE,AK-1,Exit AK,"MILES 13 & 14 HWY ALASKA TOK, AK 99780, 907-883-2821",,
AK,BIG JOHN'S OF SOLDOTNA,AK-1,,"MM 91.3 STERLING HWY SOLDOTNA, AK 99669",,
AK,GLENNALLEN FUEL AND SERVICE,AK-1,,"187 GLENN HWY GLENNALLEN, AK 99588, 907-822-3303",,
AK,HILLTOP TRUCK STOP,AK-2,,"3711 ELLIOT HWY FOX, AK 99712, 907-389-7600",,
AK,NORTHERN ENERGY CORP.,AK-2,,"1314 ALASKA HWY TOK, AK 99780, 907-883-4251",,
AK,FISHER'S FUEL,AK-3,,"MILE 52 PARKS HWY BIG LAKE, AK 99652",,
AK,TESORO NORTH  #78,AK-3,,"43721 S PARKS HWY SUNSHINE, AK 99676, 907-733-3835",,
AK,HOLIDAY STATION #622,CUSHMAN-E,Exit 23RD,"2300 S CUSHMAN ST FAIRBANKS, AK 99701",,
AK,TESORO TRUCK STOP #101,,,"3569 S CUSHMAN FAIRBANKS, AK 99701",,
AK,HUB OF ALASKA,GLENN-HWY,Exit RICHARDSON,"GLENN HWY GLENNALLEN, AK 99588",,
