State,Truck Stop Name,Highway Route,Exit,Address,Latitude,Longitude
CA,MONTEBELLO CAT SCALE,I-5,Exit 128-B,"1436 WASHINGTON BLVD MONTEBELLO, CA 90640",33.997180999255,-118.123083029931
CA,CASTAIC TRUCK STOP,I-5,Exit 176-A,"31611 CASTIAC RD CASTAIC, CA 91384",34.492982013381,-118.620072975112
CA,PILOT TRAVEL CENTER #372,I-5,Exit 176-B,"31642 CASTAIC RD CASTAIC, CA 91384",34.494269012704,-118.619445002926
CA,FLYING J TRAVEL CENTER #616,I-5,Exit 205,"42810 FRAZIER MOUNTAIN PARK RD LEBEC, CA 93243",34.817632598604,-118.884922741924
CA,SPEEDWAY,I-5,Exit 205,"161 FRAZIER MOUNTAIN PARK RD FRAZIER PARK, CA 93243",34.81859699116,-118.884359998109
CA,TRAVEL CENTERS OF AMERICA #239,I-5,Exit 219-A,"5552 WHEELER RIDGE RD WHEELER RIDGE, CA 93203",34.992968991861,-118.939834031714
CA,PETRO STOPPING CENTER #327,I-5,Exit 219-B,"5821 DENNIS MCCARTHY DR WHEELER RIDGE, CA 93243",34.98689898522,-118.949683019402
CA,MIKE'S TRUCK STOP,I-5,Exit 244,"20404 TAFT HWY BAKERSFIELD, CA 93311",35.267468986692,-119.227585019184
CA,EZ TRIP TRAVEL CENTER (ONE9 FUEL NETWORK),I-5,Exit 253,"29541 STOCKDALE HWY BAKERSFIELD, CA 93314",35.354105008465,-119.331018039645
CA,JEFFRIES OASIS I-5,I-5,Exit 257,"27736 CA 58 BUTTONWILLOW, CA 93206",35.354758562395,-119.310779881057
CA,SPEEDY FUEL TRUCK STOP,I-5,Exit 257,"27780 LAGOON DR BUTTONWILLOW, CA 93206",35.402794017178,-119.397229039761
CA,TRAVEL CENTERS OF AMERICA #160,I-5,Exit 257,"27769 LAGOON DR BUTTONWILLOW, CA 93206",35.401191020106,-119.395776958855
CA,LOST HILLS TRAVEL CENTER,I-5,Exit 278,"14814 ALOMA ST LOST HILLS, CA 93249",35.615027996532,-119.657037025158
CA,LOVE'S TRAVEL STOP #230,I-5,Exit 278,"21948 CA 46 LOST HILLS, CA 93249",35.617368014351,-119.658695971434
CA,PILOT TRAVEL CENTER #154,I-5,Exit 278,"14808 WARREN ST LOST HILLS, CA 93249",35.615640001193,-119.659059997489
CA,EZ TRIP,I-5,Exit 319,"44779 S LASSEN AVE AVENAL, CA 93204",36.074985017104,-120.103985751096
CA,JAYNE TRAVEL CENTER,I-5,Exit 325,"41027 S GLENN AVE COALINGA, CA 93210",36.137428427819,-120.164517435725
CA,HARRIS RANCH SHELL,I-5,Exit 334,"24505 W DORRIS AVE COALINGA, CA 93210",36.24981446017,-120.23922096949
CA,FIREBAUGH TRAVEL PLAZA (CHEVRON),I-5,Exit 385,"15838 PAUL NEGRA RD FIREBAUGH, CA 93622",36.854999981287,-120.778332995613
CA,PETRO STOPPING CENTER #346,I-5,Exit 403,"28991 W GONZAGA RD SANTA NELLA, CA 95322",37.054669990695,-121.015480002861
CA,LOVE'S TRAVEL STOP #441,I-5,Exit 407,"29025 PLAZA DR SANTA NELLA, CA 95322",37.111235012818,-121.017701039565
CA,ROTTEN ROBBIE,I-5,Exit 407,"12860 S CA 33 GUSTINE, CA 95322",37.102664013907,-121.015082030098
CA,TRAVEL CENTERS OF AMERICA #163,I-5,Exit 407,"12310 S HWY 33 SANTA NELLA, CA 95322",37.110117998491,-121.014666958253
CA,FLYING J TRAVEL CENTER #1080,I-5,Exit 434,"2275 SPERRY AVE PATTERSON, CA 95363",37.464831004601,-121.164435977658
CA,LOVE'S TRAVEL STOP #807,I-5,Exit 434,"55 ROGERS ROAD PATTERSON, CA 95363",37.461996999319,-121.174600963096
CA,JOE'S TRAVEL PLAZA 11,I-5,Exit 441,"4415 HOWARD RD WESTLEY, CA 95387",37.538636008994,-121.263556006022
CA,FLYING J TRAVEL CENTER #1017,I-5,Exit 465,"345 ROTH RD LATHROP, CA 95330",37.856601997212,-121.275946973486
CA,76 EXPRESS,I-5,Exit 468,"5777 FRENCH CAMP RD STOCKTON, CA 95206",37.896534012582,-121.28117702961
CA,VANCO TRUCK PLAZA,I-5,Exit 471,"1033 W CHARTER WAY STOCKTON, CA 95206",37.93672599268,-121.302014021809
