State,Truck Stop Name,Highway Route,Exit,Address
CO,TRINIDAD FUEL STOP,I-25,Exit 11,"9960 SANTA FE TRAIL TRINIDAD, CO 81082"
CO,LOVE'S TRAVEL STOP #660,I-25,Exit 49,"99800 I-25 WALSENBURG, CO 81089"
CO,TRAVEL CENTERS OF AMERICA EXPRESS #649,I-25,Exit 52,"455 US 85 WALSENBURG, CO 81089"
CO,CIRCLE K,I-25,Exit 74,"8950 S I-25 COLORADO CITY, CO 81004"
CO,LOVE'S TRAVEL STOP #226,I-25,Exit 104,"6470 N ELIZABETH ST PUEBLO, CO 81008"
CO,TOMAHAWK AUTO & TRUCK PLAZA,I-25,Exit 128,"1103 S SANTA FE AVE FOUNTAIN, CO 80817"
CO,FAST MARKET,I-25,Exit 158,"1310 W BAPTIST RD MONUMENT, CO 80921"
CO,PILOT TRAVEL CENTER #1110,I-25,Exit 158,"15455 TERRAZZO DR MONUMENT, CO 80132"
CO,PHILLIP 66 TRUCK STOP,I-25,Exit 161,"534 CO 105 MONUMENT, CO 80132"
CO,FREDERICK TRAVEL CENTER,I-25,Exit 235,"3768 CO 52 FREDERICK, CO 80516"
CO,7 ELEVEN,I-25,Exit 240,"11099 E I-25 FRONTAGE RD FIRESTONE, CO 80504"
CO,LONGMONT TRUCK STOP,I-25,Exit 240,"3851 CO 119 LONGMONT, CO 80504"
CO,LOVE'S TRAVEL STOP #668,I-25,Exit 250,"3800 E CO 56 BERTHOUD, CO 80513"
CO,PETRO JOHNSON'S CORNER #399,I-25,Exit 254,"2842 SE FRONTAGE RD JOHNSTOWN, CO 80534"
CO,ALTA CONVENIENCE,I-70,Exit 19,"555 RAPTOR RD FRUITA, CO 81521"
CO,LOVE'S TRAVEL STOP #517,I-70,Exit 26,"748 22 ROAD GRAND JUNCTION, CO 81505"
CO,PILOT TRAVEL CENTER #592,I-70,Exit 26,"2195 US 6 GRAND JUNCTION, CO 81505"
CO,TRAVEL CENTERS OF AMERICA EXPRESS #264,I-70,Exit 26,"2222 US 6 GRAND JUNCTION, CO 81505"
CO,EAGLE'S NEST TRUCK STOP,I-70,Exit 47,"1040 IH 70 PALISADE, CO 81526"
CO,KUM & GO,I-70,Exit 62,"4530 OLD US 6 DE BEQUE, CO 81630"
CO,LOVE'S TRAVEL STOP #826,I-70,Exit 75,"100 E CARDINAL WAY STE A PARACHUTE, CO 81635"
CO,SHELL FOOD MART,I-70,Exit 75,"252 GREEN ST PARACHUTE, CO 81635"
CO,THUNDER RIVER MARKET #3,I-70,Exit 75,"28 CARDINAL WAY PARACHUTE, CO 81635"
CO,KUM & GO,I-70,Exit 90,"705 TAUGENBAUGH BLVD RIFLE, CO 81650"
CO,SUNMART #502,I-70,Exit 259,"18561 US 40 GOLDEN, CO 80401"
CO,TRAVEL CENTERS OF AMERICA #174 - DANNY & CINDY GEORGE,I-70,Exit 266,"12151 W 44TH AVE WHEAT RIDGE, CO 80033"
CO,FLYING J TRAVEL CENTER #619,I-70,Exit 285,"16751 E 32ND AVE AURORA, CO 80011"
CO,TOMAHAWK AUTO & TRUCK PLAZA,I-70,Exit 295,"1695 N WATKINS RD WATKINS, CO 80137"
CO,CIRCLE K,I-70,Exit 299,"1495 N MANILA RD BENNETT, CO 80102"
CO,LOVE'S TRAVEL STOP #300,I-70,Exit 304,"1191 S 1ST ST BENNETT, CO 80102"
CO,FLYING J TRAVEL CENTER #621,I-70,Exit 359,"2495 WILLIAMS AVE LIMON, CO 80828"
CO,QWEST FUEL,I-70,Exit 359,"915 HWY 24 LIMON, CO 80828"
CO,TRAVEL CENTERS OF AMERICA #228,I-70,Exit 359,"2200 NINTH ST LIMON, CO 80828"
CO,FAST N FRIENDLY FOOD MART #6,I-70,Exit 361,"201 E MAIN LIMON, CO 80828"
CO,COUNTRY STORE,I-70,Exit 395,"16995 CO RD 5 FLAGLER, CO 80815"
CO,SEIBERT TRAVEL PLAZA,I-70,Exit 405,"17507 CO 59 SEIBERT, CO 80834"
CO,AMPRIDE,I-70,Exit 419,"913 COLORADO AVE STRATTON, CO 80836"
CO,LOVE'S TRAVEL STOP #644,I-70,Exit 437,"582 S LINCOLN ST BURLINGTON, CO 80807"
CO,TRAVEL SHOPPE,I-70,Exit 437,"415 S LINCOLN ST BURLINGTON, CO 80807"
