State,Truck Stop Name,Highway Route,Exit,Address,Latitude,Longitude
WA,ARLINGTON FUEL STOP,I-5,Exit 208,"1801 PIONEER HWY E ARLINGTON, WA 98223",48.188229980035,-122.206022982582
WA,LUMMI BAY MARKET,I-5,Exit 260,"4839 RURAL AVENUE BELLINGHAM, WA 98226, 360-778-1696 (FUEL BAY), Visit Business's Website, We are located in Bellingham, WA.  We are open 24/7 for all of your traveling needs.",48.815436981998,-122.555352040825
WA,PARADISE TRUCK STOP,I-5,Exit 16,"2814 NW 319TH ST RIDGEFIELD, WA 98642",45.853312297656,-122.701012670389
WA,REBEL TRUCK STOP,I-5,Exit 27,"7349 OLD PACIFIC HWY KALAMA, WA 98625",45.984579984091,-122.827215969016
WA,INDUSTRIAL WAY CHEVRON,I-5,Exit 36,"1161 INDUSTRIAL WAY LONGVIEW, WA 98632",46.115324011126,-122.94309896554
WA,ROCKET CHEVRON,I-5,Exit 46,"1040 DOUGHERTY DR NE CASTLE ROCK, WA 98611",46.28460299982,-122.900810000906
WA,EAGLE TRUCK PLAZA,I-5,Exit 71,"110 ESTEP RD NAPAVINE, WA 98532",46.584600995567,-122.885195018204
WA,LOVE'S TRAVEL STOP #454,I-5,Exit 72,"1276 RUSH RD NAPAVINE, WA 98532",46.604103002047,-122.907465986399
WA,RUSH ROAD TRUCK STOP,I-5,Exit 72,"1366 RUSH RD NAPAVINE, WA 98532",46.60680800984,-122.905464974654
WA,PILOT TRAVEL CENTER #151,I-5,Exit 99,"2430 93RD AVE SW TUMWATER, WA 98512",46.953122013692,-122.935024007659
WA,LOVE'S TRAVEL STOP #448,I-5,Exit 136-B,"1501 34TH AVE E TACOMA, WA 98424",47.243215882511,-122.383710838692
WA,PACIFIC EXPRESS,I-5,Exit 137,"4310 PACIFIC HWY E FIFE, WA 98424",47.242865002362,-122.371432968588
WA,KITIMAT SEATTLE GULL,I-5,Exit 163,"3215 4TH AVE S SEATTLE, WA 98134",47.574849011179,-122.329665023056
